# WerkstattArchiv Log-Datei
# Diese Datei wird automatisch beim Programmstart erstellt
# Alle wichtigen Events werden hier protokolliert

[2025-11-12 07:14:05] INFO     | Log-System gestartet
[2025-11-12 07:18:51] INFO     | Log-System gestartet
[2025-11-12 07:22:55] INFO     | Anwendung wird beendet
[2025-11-12 07:24:18] INFO     | Log-System gestartet
[2025-11-12 07:26:30] INFO     | Log-System gestartet
[2025-11-12 07:26:41] INFO     | Anwendung wird beendet
[2025-11-12 19:54:34] INFO     | Erstelle Einstellungen-Tab
[2025-11-12 19:54:34] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-12 19:54:40] INFO     | Log-System gestartet
[2025-11-12 19:55:46] INFO     | Profil 'Chronologisch' geladen
[2025-11-12 19:55:52] INFO     | Profil 'Nach Auftrag' geladen
[2025-11-12 19:55:59] INFO     | Profil 'Kompakt' geladen
[2025-11-12 19:56:21] INFO     | Profil 'Chronologisch' geladen
[2025-11-12 19:56:32] INFO     | Anwendung wird beendet
[2025-11-12 20:15:45] INFO     | Erstelle Einstellungen-Tab
[2025-11-12 20:15:45] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-12 20:15:52] INFO     | Log-System gestartet
[2025-11-12 20:16:25] INFO     | Anwendung wird beendet
[2025-11-13 04:50:30] INFO     | Erstelle Einstellungen-Tab
[2025-11-13 04:50:30] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-13 04:50:37] INFO     | Log-System gestartet
[2025-11-13 04:51:06] INFO     | Schlagwort-Kategorie 'Reifen' aktiviert
[2025-11-13 04:51:07] INFO     | Schlagwort-Kategorie 'Reifen' deaktiviert
[2025-11-13 04:51:09] INFO     | Konfigurationsdatei geöffnet | Detail: config/keywords.json
[2025-11-13 05:00:51] INFO     | Erstelle Einstellungen-Tab
[2025-11-13 05:00:51] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-13 05:00:58] INFO     | Log-System gestartet
[2025-11-13 05:17:12] INFO     | Erstelle Einstellungen-Tab
[2025-11-13 05:17:12] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-13 05:17:18] INFO     | Log-System gestartet
[2025-11-13 05:17:37] INFO     | Profil 'Legacy-Kompatibel' geladen
[2025-11-13 05:17:44] INFO     | Profil 'Chronologisch' geladen
[2025-11-13 05:17:52] INFO     | Profil 'Mit Kundennummer im Dateinamen' geladen
[2025-11-14 05:03:31] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 05:03:31] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 05:03:38] INFO     | Log-System gestartet
[2025-11-14 05:07:38] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 05:07:39] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 05:07:41] INFO     | Anwendung wird beendet
[2025-11-14 05:07:46] INFO     | Log-System gestartet
[2025-11-14 05:10:28] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 05:10:28] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 05:10:34] INFO     | Log-System gestartet
